## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/sc/arion/projects/vascbrain/WGS_iPSC/aligned_reads/insert_size_63histogram.pdf INPUT=/sc/arion/projects/vascbrain/WGS_iPSC/aligned_reads/P931263_sorted_dedup_bqsr_reads.bam OUTPUT=/sc/arion/projects/vascbrain/WGS_iPSC/aligned_reads/insert_size_63metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 21 07:58:06 EDT 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
341	334	52	2	246811176	345.331647	81.827627	211207638	FR	21	39	59	81	105	131	161	203	267	327	489			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	971
3	897
4	985
5	866
6	910
7	922
8	882
9	893
10	883
11	925
12	965
13	1122
14	1082
15	1040
16	1089
17	1142
18	1190
19	1736
20	1771
21	1489
22	1528
23	1691
24	1655
25	1606
26	1615
27	1612
28	1659
29	1787
30	1705
31	1754
32	1858
33	1918
34	2103
35	2264
36	2580
37	2766
38	3255
39	3653
40	3922
41	4239
42	4228
43	4391
44	4630
45	4769
46	4859
47	5006
48	5196
49	5251
50	5178
51	5880
52	5296
53	5351
54	6314
55	5486
56	5661
57	5562
58	5740
59	6067
60	5998
61	6264
62	6057
63	6578
64	6815
65	6976
66	7061
67	6939
68	7198
69	7320
70	7548
71	7258
72	7137
73	7382
74	7496
75	7287
76	7661
77	7484
78	7670
79	7974
80	7870
81	7665
82	7739
83	7972
84	7977
85	7863
86	8001
87	7954
88	8256
89	8678
90	9021
91	9273
92	9284
93	9406
94	9568
95	9382
96	9575
97	9750
98	9701
99	10081
100	10159
101	10458
102	10851
103	10846
104	10827
105	10566
106	10835
107	10601
108	11222
109	11603
110	12200
111	12332
112	12326
113	12408
114	12761
115	12481
116	12821
117	13020
118	13323
119	13738
120	13695
121	14383
122	14576
123	15280
124	16151
125	16438
126	16620
127	17141
128	17358
129	17789
130	18216
131	18591
132	19167
133	19890
134	20694
135	21194
136	21705
137	22607
138	23340
139	23899
140	24289
141	24940
142	25943
143	26422
144	27800
145	28921
146	30366
147	31431
148	32358
149	33330
150	33764
151	34628
152	35787
153	37148
154	38768
155	40527
156	42434
157	44221
158	45993
159	47513
160	48639
161	50082
162	51371
163	53798
164	56030
165	58213
166	61204
167	63502
168	65822
169	67982
170	68907
171	71014
172	73127
173	75720
174	78868
175	82009
176	85396
177	88744
178	91971
179	94824
180	96488
181	99484
182	102092
183	105449
184	109113
185	113114
186	117024
187	121703
188	126184
189	129383
190	132623
191	135321
192	139027
193	142656
